stage_id,frame,input_mm_day,norm,fog_baseline_mm_day,fog_baseline_norm,scaled,high_variation,variation_threshold
shasta,0,0.3260432988771171,0.015308570822699971,0.05,0.0023476285014018402,3.0617141645399943,0,0.04709076954064801
shasta,1,1.6702543770202516,0.07842273560167834,0.05,0.0023476285014018402,15.684547120335669,0,0.04709076954064801
shasta,2,3.006137232399255,0.14114586891811476,0.05,0.0023476285014018402,28.22917378362295,0,0.04709076954064801
shasta,3,4.01351796763753,0.1884449834342851,0.05,0.0023476285014018402,37.68899668685702,0,0.04709076954064801
shasta,4,4.948751129270563,0.23235658394840228,0.05,0.0023476285014018402,46.47131678968046,0,0.04709076954064801
shasta,5,4.49714759826946,0.2111526375341643,0.05,0.0023476285014018402,42.23052750683286,0,0.04709076954064801
shasta,6,4.051616236123414,0.19023379505331547,0.05,0.0023476285014018402,38.046759010663095,0,0.04709076954064801
shasta,7,3.681874537094206,0.17287347203736128,0.05,0.0023476285014018402,34.57469440747226,0,0.04709076954064801
shasta,8,3.318761466571022,0.15582438016552602,0.05,0.0023476285014018402,31.164876033105205,0,0.04709076954064801
shasta,9,3.0160425668805053,0.14161094982899677,0.05,0.0023476285014018402,28.322189965799353,0,0.04709076954064801
shasta,10,2.7201074947007533,0.12771603762872485,0.05,0.0023476285014018402,25.54320752574497,0,0.04709076954064801
shasta,11,2.4722622219861985,0.11607906510547683,0.05,0.0023476285014018402,23.215813021095364,0,0.04709076954064801
shasta,12,2.2310819031196107,0.10475502929450914,0.05,0.0023476285014018402,20.951005858901826,0,0.04709076954064801
shasta,13,2.028163356343206,0.09522748201700254,0.05,0.0023476285014018402,19.04549640340051,0,0.04709076954064801
shasta,14,1.8316110793638398,0.08599884746795876,0.05,0.0023476285014018402,17.199769493591752,0,0.04709076954064801
shasta,15,1.665475424748104,0.07819835151045969,0.05,0.0023476285014018402,15.639670302091938,0,0.04709076954064801
shasta,16,1.5052966396926277,0.07067754588813657,0.05,0.0023476285014018402,14.135509177627315,0,0.04709076954064801
shasta,17,1.3692762700759826,0.0642910399584716,0.05,0.0023476285014018402,12.85820799169432,0,0.04709076954064801
shasta,18,1.2387426067980287,0.0581621489923973,0.05,0.0023476285014018402,11.63242979847946,0,0.04709076954064801
shasta,19,1.1273785471478475,0.052933320183065694,0.05,0.0023476285014018402,10.586664036613138,0,0.04709076954064801
shasta,20,1.0210057488449935,0.047938843921672705,0.05,0.0023476285014018402,9.587768784334541,0,0.04709076954064801
shasta,21,0.9298285684217794,0.043657840972892804,0.05,0.0023476285014018402,8.73156819457856,0,0.04709076954064801
shasta,22,0.8431465370764422,0.03958789682597837,0.05,0.0023476285014018402,7.9175793651956745,0,0.04709076954064801
shasta,23,0.768496975485017,0.03608290805779474,0.05,0.0023476285014018402,7.216581611558947,0,0.04709076954064801
shasta,24,0.697862304936931,0.032766428742478426,0.05,0.0023476285014018402,6.553285748495686,0,0.04709076954064801
shasta,25,0.6367444131582425,0.029896786648773578,0.05,0.0023476285014018402,5.979357329754715,0,0.04709076954064801
shasta,26,0.5791875623776132,0.027194344581902813,0.05,0.0023476285014018402,5.438868916380563,0,0.04709076954064801
shasta,27,0.5291484648151086,0.02484488034945955,0.05,0.0023476285014018402,4.9689760698919105,0,0.04709076954064801
shasta,28,0.48224917285977015,0.02264283805966118,0.05,0.0023476285014018402,4.528567611932236,0,0.04709076954064801
shasta,29,0.4412806248290784,0.02071925943930314,0.05,0.0023476285014018402,4.143851887860627,0,0.04709076954064801
shasta,30,0.40306635045117956,0.01892500104550423,0.05,0.0023476285014018402,3.7850002091008457,0,0.04709076954064801
shasta,31,0.36952414026949965,0.017350108073053774,0.05,0.0023476285014018402,3.4700216146107548,0,0.04709076954064801
shasta,32,0.33838727253254947,0.0158881521101809,0.05,0.0023476285014018402,3.1776304220361804,0,0.04709076954064801
shasta,33,0.31092523353060286,0.014598738800829326,0.05,0.0023476285014018402,2.9197477601658655,0,0.04709076954064801
shasta,34,0.285555605349289,0.013407569557060931,0.05,0.0023476285014018402,2.6815139114121864,0,0.04709076954064801
shasta,35,0.2630715894761684,0.012351887227266743,0.05,0.0023476285014018402,2.4703774454533485,0,0.04709076954064801
shasta,36,0.24240146651861566,0.011381371831614117,0.05,0.0023476285014018402,2.2762743663228235,0,0.04709076954064801
shasta,37,0.2239931112705983,0.010517052242730604,0.05,0.0023476285014018402,2.103410448546121,0,0.04709076954064801
shasta,38,0.20715235093050025,0.009726335263536766,0.05,0.0023476285014018402,1.9452670527073532,0,0.04709076954064801
shasta,39,0.192080864375364,0.009018690235630117,0.05,0.0023476285014018402,1.8037380471260234,0,0.04709076954064801
shasta,40,0.17732406893241315,0.008325820764205552,0.05,0.0023476285014018402,1.6651641528411105,0,0.04709076954064801
shasta,41,0.16288895773747392,0.00764805519496267,0.05,0.0023476285014018402,1.529611038992534,0,0.04709076954064801
