phase_idx,block,label,target_chair,occupied_chairs,is_transition,t_start,t_end,duration
0,A,empty,,,0,1785439549.242,1785439594.242,45.0
1,B,walk_past,1,,0,1785439594.242,1785439606.342,12.1
2,B,walk_past,2,,0,1785439606.342,1785439618.442,12.1
3,B,walk_past,3,,0,1785439618.442,1785439630.442,12.0
4,B,walk_past,4,,0,1785439630.442,1785439642.542,12.1
5,B,walk_past,5,,0,1785439642.542,1785439654.642,12.1
6,B,walk_past,6,,0,1785439654.642,1785439666.742,12.1
7,B,walk_past,7,,0,1785439666.742,1785439678.842,12.1
8,C,sit_down,1,1,1,1785439678.842,1785439686.942,8.1
9,C,seated_still,1,1,0,1785439686.942,1785439721.943,35.0
10,C,seated_active,1,1,0,1785439721.943,1785439737.043,15.1
11,C,stand_up,1,,1,1785439737.043,1785439745.143,8.1
12,C,empty_after,1,,0,1785439745.143,1785439757.243,12.1
13,C,sit_down,2,2,1,1785439757.243,1785439765.343,8.1
14,C,seated_still,2,2,0,1785439765.343,1785439800.343,35.0
15,C,seated_active,2,2,0,1785439800.343,1785439815.443,15.1
16,C,stand_up,2,,1,1785439815.443,1785439823.543,8.1
17,C,empty_after,2,,0,1785439823.543,1785439835.643,12.1
18,C,sit_down,3,3,1,1785439835.643,1785439843.743,8.1
19,C,seated_still,3,3,0,1785439843.743,1785439878.843,35.1
20,C,seated_active,3,3,0,1785439878.844,1785439893.943,15.1
21,C,stand_up,3,,1,1785439893.944,1785439902.044,8.1
22,C,empty_after,3,,0,1785439902.044,1785439914.144,12.1
23,C,sit_down,4,4,1,1785439914.144,1785439922.244,8.1
24,C,seated_still,4,4,0,1785439922.244,1785439957.244,35.0
25,C,seated_active,4,4,0,1785439957.244,1785439972.344,15.1
26,C,stand_up,4,,1,1785439972.344,1785439980.444,8.1
27,C,empty_after,4,,0,1785439980.444,1785439992.544,12.1
28,C,sit_down,5,5,1,1785439992.544,1785440000.644,8.1
29,C,seated_still,5,5,0,1785440000.644,1785440035.744,35.1
30,C,seated_active,5,5,0,1785440035.744,1785440050.744,15.0
31,C,stand_up,5,,1,1785440050.744,1785440058.844,8.1
32,C,empty_after,5,,0,1785440058.845,1785440070.945,12.1
33,C,sit_down,6,6,1,1785440070.945,1785440079.045,8.1
34,C,seated_still,6,6,0,1785440079.045,1785440114.045,35.0
35,C,seated_active,6,6,0,1785440114.045,1785440129.145,15.1
36,C,stand_up,6,,1,1785440129.145,1785440137.245,8.1
37,C,empty_after,6,,0,1785440137.245,1785440149.344,12.1
38,C,sit_down,7,7,1,1785440149.344,1785440157.345,8.0
39,C,seated_still,7,7,0,1785440157.345,1785440192.345,35.0
40,C,seated_active,7,7,0,1785440192.345,1785440207.445,15.1
41,C,stand_up,7,,1,1785440207.445,1785440215.446,8.0
42,C,empty_after,7,,0,1785440215.446,1785440227.546,12.1
43,F,sit_down,1,1,1,1785440227.546,1785440235.646,8.1
44,F,statue,1,1,0,1785440235.646,1785440325.647,90.0
45,F,stand_up,1,,1,1785440325.647,1785440333.747,8.1
46,F,empty_after,1,,0,1785440333.747,1785440358.747,25.0
47,F,sit_down,2,2,1,1785440358.747,1785440366.847,8.1
48,F,statue,2,2,0,1785440366.847,1785440456.848,90.0
49,F,stand_up,2,,1,1785440456.848,1785440464.948,8.1
50,F,empty_after,2,,0,1785440464.948,1785440490.047,25.1
51,I,empty,,,0,1785440490.047,1785440535.047,45.0
