phase_idx,block,label,target_chair,occupied_chairs,is_transition,t_start,t_end,duration
0,A,empty,,,0,1785362235.156,1785362325.157,90.0
1,B,walk_past,1,,0,1785362325.157,1785362337.257,12.1
2,B,bump,1,,0,1785362337.257,1785362347.357,10.1
3,B,bag_on_seat,1,,0,1785362347.357,1785362361.457,14.1
4,B,walk_past,2,,0,1785362361.457,1785362373.556,12.1
5,B,bump,2,,0,1785362373.556,1785362383.557,10.0
6,B,bag_on_seat,2,,0,1785362383.557,1785362397.657,14.1
7,B,walk_past,3,,0,1785362397.657,1785362409.757,12.1
8,B,bump,3,,0,1785362409.757,1785362419.857,10.1
9,B,bag_on_seat,3,,0,1785362419.857,1785362433.957,14.1
10,B,walk_past,4,,0,1785362433.957,1785362446.057,12.1
11,B,bump,4,,0,1785362446.057,1785362456.157,10.1
12,B,bag_on_seat,4,,0,1785362456.157,1785362470.257,14.1
13,B,walk_past,5,,0,1785362470.257,1785362482.357,12.1
14,B,bump,5,,0,1785362482.357,1785362492.357,10.0
15,B,bag_on_seat,5,,0,1785362492.357,1785362506.457,14.1
16,B,walk_past,6,,0,1785362506.457,1785362518.557,12.1
17,B,bump,6,,0,1785362518.558,1785362528.657,10.1
18,B,bag_on_seat,6,,0,1785362528.657,1785362542.756,14.1
19,B,walk_past,7,,0,1785362542.756,1785362554.757,12.0
20,B,bump,7,,0,1785362554.757,1785362564.857,10.1
21,B,bag_on_seat,7,,0,1785362564.857,1785362578.957,14.1
22,C,sit_down,1,1,1,1785362578.958,1785362587.057,8.1
23,C,seated_still,1,1,0,1785362587.057,1785362612.057,25.0
24,C,seated_active,1,1,0,1785362612.057,1785362627.157,15.1
25,C,stand_up,1,,1,1785362627.157,1785362635.157,8.0
26,C,empty_after,1,,0,1785362635.158,1785362653.257,18.1
27,C,sit_down,2,2,1,1785362653.257,1785362661.357,8.1
28,C,seated_still,2,2,0,1785362661.357,1785362686.456,25.1
29,C,seated_active,2,2,0,1785362686.456,1785362701.457,15.0
30,C,stand_up,2,,1,1785362701.457,1785362709.557,8.1
31,C,empty_after,2,,0,1785362709.557,1785362727.657,18.1
32,C,sit_down,3,3,1,1785362727.657,1785362735.657,8.0
33,C,seated_still,3,3,0,1785362735.657,1785362760.757,25.1
34,C,seated_active,3,3,0,1785362760.757,1785362775.857,15.1
35,C,stand_up,3,,1,1785362775.857,1785362783.957,8.1
36,C,empty_after,3,,0,1785362783.957,1785362802.057,18.1
37,C,sit_down,4,4,1,1785362802.058,1785362810.157,8.1
38,C,seated_still,4,4,0,1785362810.157,1785362835.257,25.1
39,C,seated_active,4,4,0,1785362835.257,1785362850.357,15.1
40,C,stand_up,4,,1,1785362850.357,1785362858.457,8.1
41,C,empty_after,4,,0,1785362858.457,1785362876.457,18.0
42,C,sit_down,5,5,1,1785362876.458,1785362884.557,8.1
43,C,seated_still,5,5,0,1785362884.558,1785362909.657,25.1
44,C,seated_active,5,5,0,1785362909.658,1785362924.757,15.1
45,C,stand_up,5,,1,1785362924.758,1785362932.858,8.1
46,C,empty_after,5,,0,1785362932.858,1785362950.957,18.1
47,C,sit_down,6,6,1,1785362950.958,1785362959.057,8.1
48,C,seated_still,6,6,0,1785362959.058,1785362984.058,25.0
49,C,seated_active,6,6,0,1785362984.058,1785362999.158,15.1
50,C,stand_up,6,,1,1785362999.158,1785363007.258,8.1
51,C,empty_after,6,,0,1785363007.258,1785363025.353,18.1
52,C,sit_down,7,7,1,1785363025.353,1785363033.452,8.1
53,C,seated_still,7,7,0,1785363033.452,1785363058.551,25.1
54,C,seated_active,7,7,0,1785363058.551,1785363073.651,15.1
55,C,stand_up,7,,1,1785363073.651,1785363081.751,8.1
56,C,empty_after,7,,0,1785363081.751,1785363099.851,18.1
57,D,sit_quick,1,1,1,1785363099.851,1785363105.951,6.1
58,D,seated_still_short,1,1,0,1785363105.951,1785363121.051,15.1
59,D,stand_quick,1,,1,1785363121.051,1785363127.151,6.1
60,D,empty_after,1,,0,1785363127.151,1785363142.251,15.1
61,D,sit_slow,1,1,1,1785363142.251,1785363152.351,10.1
62,D,seated_still_short,1,1,0,1785363152.351,1785363167.451,15.1
63,D,stand_slow,1,,1,1785363167.451,1785363177.550,10.1
64,D,empty_after,1,,0,1785363177.550,1785363192.651,15.1
65,D,sit_quick,2,2,1,1785363192.651,1785363198.750,6.1
66,D,seated_still_short,2,2,0,1785363198.750,1785363213.851,15.1
67,D,stand_quick,2,,1,1785363213.851,1785363219.951,6.1
68,D,empty_after,2,,0,1785363219.951,1785363235.050,15.1
69,D,sit_slow,2,2,1,1785363235.050,1785363245.150,10.1
70,D,seated_still_short,2,2,0,1785363245.151,1785363260.250,15.1
71,D,stand_slow,2,,1,1785363260.250,1785363270.350,10.1
72,D,empty_after,2,,0,1785363270.350,1785363285.450,15.1
73,E,perch,1,1,1,1785363285.450,1785363305.550,20.1
74,E,partial_rise,1,1,0,1785363305.550,1785363325.650,20.1
75,E,stand_up,1,,1,1785363325.650,1785363333.750,8.1
76,E,empty_after,1,,0,1785363333.750,1785363348.850,15.1
77,E,perch,2,2,1,1785363348.851,1785363368.950,20.1
78,E,partial_rise,2,2,0,1785363368.950,1785363389.050,20.1
79,E,stand_up,2,,1,1785363389.050,1785363397.150,8.1
80,E,empty_after,2,,0,1785363397.150,1785363412.250,15.1
81,F,sit_down,1,1,1,1785363412.250,1785363420.350,8.1
82,F,statue,1,1,0,1785363420.350,1785363510.450,90.1
83,F,stand_up,1,,1,1785363510.450,1785363518.549,8.1
84,F,empty_after,1,,0,1785363518.549,1785363543.649,25.1
85,F,sit_down,2,2,1,1785363543.649,1785363551.749,8.1
86,F,statue,2,2,0,1785363551.749,1785363641.750,90.0
87,F,stand_up,2,,1,1785363641.750,1785363649.850,8.1
88,F,empty_after,2,,0,1785363649.850,1785363674.950,25.1
89,I,empty,,,0,1785363674.950,1785363765.050,90.1
