# river=feather scale_factor=10000.0 threshold=358.900
frame	cfs	norm	scaled	high_variation
185	5590.0	0.559	111.8	0
186	4600.0	0.46	92.0	1
187	4600.0	0.46	92.0	1
188	4130.0	0.413	82.6	1
189	4130.0	0.413	82.6	1
190	4200.0	0.42	84.0	1
191	4200.0	0.42	84.0	1
192	4200.0	0.42	84.0	0
193	4200.0	0.42	84.0	0
194	4200.0	0.42	84.0	0
195	4200.0	0.42	84.0	0
196	4210.0	0.421	84.2	0
197	4210.0	0.421	84.2	0
198	4200.0	0.42	84.0	0
199	4200.0	0.42	84.0	0
200	3600.0	0.36	72.0	0
201	3600.0	0.36	72.0	0
202	2590.0	0.259	51.8	0
203	2590.0	0.259	51.8	0
204	1890.0	0.189	37.8	0
205	1890.0	0.189	37.8	0
206	1660.0	0.166	33.2	0
207	1660.0	0.166	33.2	0
208	1650.0	0.165	33.0	0
209	1650.0	0.165	33.0	0
210	1650.0	0.165	33.0	0
211	1650.0	0.165	33.0	0
212	1650.0	0.165	33.0	0
213	1650.0	0.165	33.0	0
214	1650.0	0.165	33.0	0
215	1650.0	0.165	33.0	0
216	1650.0	0.165	33.0	0
217	1650.0	0.165	33.0	0
218	1660.0	0.166	33.2	0
219	1660.0	0.166	33.2	0
220	1650.0	0.165	33.0	0
221	1650.0	0.165	33.0	0
222	1650.0	0.165	33.0	0
223	1650.0	0.165	33.0	0
224	1640.0	0.164	32.8	0
225	1640.0	0.164	32.8	0
226	1650.0	0.165	33.0	0
227	1650.0	0.165	33.0	0
228	1650.0	0.165	33.0	0
229	1650.0	0.165	33.0	0
230	1650.0	0.165	33.0	0
231	1650.0	0.165	33.0	0
232	1650.0	0.165	33.0	0
233	1650.0	0.165	33.0	0
234	1660.0	0.166	33.2	0
235	1660.0	0.166	33.2	0
236	1530.0	0.153	30.6	0
237	1530.0	0.153	30.6	0
238	1330.0	0.133	26.6	0
239	1130.0	0.113	22.6	0
240	991.0	0.0991	19.82	0
241	991.0	0.0991	19.82	0
242	955.0	0.0955	19.1	0
243	955.0	0.0955	19.1	0
244	963.0	0.0963	19.26	0
245	963.0	0.0963	19.26	0
246	963.0	0.0963	19.26	0
247	963.0	0.0963	19.26	0
248	949.0	0.0949	18.98	0
249	949.0	0.0949	18.98	0
250	943.0	0.0943	18.86	0
251	943.0	0.0943	18.86	0
252	957.0	0.0957	19.14	0
253	957.0	0.0957	19.14	0
254	966.0	0.0966	19.32	0
255	966.0	0.0966	19.32	0
256	963.0	0.0963	19.26	0
257	963.0	0.0963	19.26	0
258	965.0	0.0965	19.3	0
259	965.0	0.0965	19.3	0
260	951.0	0.0951	19.02	0
261	951.0	0.0951	19.02	0
262	948.0	0.0948	18.96	0
263	948.0	0.0948	18.96	0
264	946.0	0.0946	18.92	0
265	946.0	0.0946	18.92	0
266	939.0	0.0939	18.78	0
267	939.0	0.0939	18.78	0
268	942.0	0.0942	18.84	0
269	942.0	0.0942	18.84	0
270	950.0	0.095	19.0	0
271	950.0	0.095	19.0	0
272	945.0	0.0945	18.9	0
273	945.0	0.0945	18.9	0
274	951.0	0.0951	19.02	0
275	951.0	0.0951	19.02	0
276	948.0	0.0948	18.96	0
277	948.0	0.0948	18.96	0
278	950.0	0.095	19.0	0
279	950.0	0.095	19.0	0
280	939.0	0.0939	18.78	0
281	939.0	0.0939	18.78	0
282	944.0	0.0944	18.88	0
283	944.0	0.0944	18.88	0
284	954.0	0.0954	19.08	0
285	954.0	0.0954	19.08	0
286	963.0	0.0963	19.26	0
287	963.0	0.0963	19.26	0
288	951.0	0.0951	19.02	0
289	951.0	0.0951	19.02	0
290	933.0	0.0933	18.66	0
291	933.0	0.0933	18.66	0
292	941.0	0.0941	18.82	0
293	941.0	0.0941	18.82	0
294	943.0	0.0943	18.86	0
295	943.0	0.0943	18.86	0
296	953.0	0.0953	19.06	0
297	953.0	0.0953	19.06	0
298	958.0	0.0958	19.16	0
299	958.0	0.0958	19.16	0
300	960.0	0.096	19.2	0
301	960.0	0.096	19.2	0
302	960.0	0.096	19.2	0
303	960.0	0.096	19.2	0
304	961.0	0.0961	19.22	0
305	961.0	0.0961	19.22	0
306	959.0	0.0959	19.18	0
307	959.0	0.0959	19.18	0
308	942.0	0.0942	18.84	0
309	942.0	0.0942	18.84	0
310	937.0	0.0937	18.74	0
311	937.0	0.0937	18.74	0
312	950.0	0.095	19.0	0
313	950.0	0.095	19.0	0
314	957.0	0.0957	19.14	0
315	957.0	0.0957	19.14	0
316	952.0	0.0952	19.04	0
317	952.0	0.0952	19.04	0
318	949.0	0.0949	18.98	0
319	949.0	0.0949	18.98	0
