# river=cottonwood scale_factor=30000.0 threshold=2368.708
frame	cfs	norm	scaled	high_variation
162	74.5	0.0025	0.5	0
163	87.2	0.0029	0.58	0
164	77.2	0.0026	0.51	0
165	73.1	0.0024	0.49	0
166	70.5	0.0024	0.47	0
167	77.2	0.0026	0.51	0
168	73.1	0.0024	0.49	0
169	64.0	0.0021	0.43	0
170	78.6	0.0026	0.52	0
171	55.5	0.0019	0.37	0
172	54.3	0.0018	0.36	0
173	67.8	0.0023	0.45	0
174	59.1	0.002	0.39	0
175	53.2	0.0018	0.35	0
176	52.0	0.0017	0.35	0
177	60.3	0.002	0.4	0
178	55.5	0.0019	0.37	0
179	74.5	0.0025	0.5	0
180	73.1	0.0024	0.49	0
181	111.0	0.0037	0.74	0
182	111.0	0.0037	0.74	0
183	139.0	0.0046	0.93	0
184	139.0	0.0046	0.93	0
185	123.0	0.0041	0.82	0
186	124.0	0.0041	0.83	0
187	94.7	0.0032	0.63	0
188	96.3	0.0032	0.64	0
189	85.7	0.0029	0.57	0
190	87.2	0.0029	0.58	0
191	80.0	0.0027	0.53	0
192	81.4	0.0027	0.54	0
193	78.6	0.0026	0.52	0
194	78.6	0.0026	0.52	0
195	96.3	0.0032	0.64	0
196	96.3	0.0032	0.64	0
197	80.0	0.0027	0.53	0
198	96.3	0.0032	0.64	0
199	80.0	0.0027	0.53	0
200	82.9	0.0028	0.55	0
201	87.2	0.0029	0.58	0
202	87.2	0.0029	0.58	0
203	96.3	0.0032	0.64	0
204	96.3	0.0032	0.64	0
205	87.2	0.0029	0.58	0
206	90.2	0.003	0.6	0
207	104.0	0.0035	0.69	0
208	104.0	0.0035	0.69	0
209	158.0	0.0053	1.05	0
210	158.0	0.0053	1.05	0
211	137.0	0.0046	0.91	0
212	135.0	0.0045	0.9	0
213	117.0	0.0039	0.78	0
214	117.0	0.0039	0.78	0
215	106.0	0.0035	0.71	0
216	107.0	0.0036	0.71	0
217	97.8	0.0033	0.65	0
218	97.8	0.0033	0.65	0
219	91.7	0.0031	0.61	0
220	93.2	0.0031	0.62	0
221	88.7	0.003	0.59	0
222	90.2	0.003	0.6	0
223	85.7	0.0029	0.57	0
224	84.3	0.0028	0.56	0
225	87.2	0.0029	0.58	0
226	85.7	0.0029	0.57	0
227	82.9	0.0028	0.55	0
228	85.7	0.0029	0.57	0
229	103.0	0.0034	0.69	0
230	91.7	0.0031	0.61	0
231	117.0	0.0039	0.78	0
232	117.0	0.0039	0.78	0
233	150.0	0.005	1.0	0
234	162.0	0.0054	1.08	0
235	148.0	0.0049	0.99	0
236	148.0	0.0049	0.99	0
237	123.0	0.0041	0.82	0
238	124.0	0.0041	0.83	0
239	111.0	0.0037	0.74	0
240	111.0	0.0037	0.74	0
241	104.0	0.0035	0.69	0
242	101.0	0.0034	0.67	0
243	111.0	0.0037	0.74	0
244	107.0	0.0036	0.71	0
245	99.4	0.0033	0.66	0
246	99.4	0.0033	0.66	0
247	96.3	0.0032	0.64	0
248	97.8	0.0033	0.65	0
249	123.0	0.0041	0.82	0
250	123.0	0.0041	0.82	0
251	376.0	0.0125	2.51	0
252	383.0	0.0128	2.55	0
253	562.0	0.0187	3.75	0
254	431.0	0.0144	2.87	0
255	332.0	0.0111	2.21	0
256	332.0	0.0111	2.21	0
257	274.0	0.0091	1.83	0
258	274.0	0.0091	1.83	0
259	224.0	0.0075	1.49	0
260	224.0	0.0075	1.49	0
261	192.0	0.0064	1.28	0
262	192.0	0.0064	1.28	0
263	172.0	0.0057	1.15	0
264	164.0	0.0055	1.09	0
265	183.0	0.0061	1.22	0
266	185.0	0.0062	1.23	0
267	812.0	0.0271	5.41	0
268	891.0	0.0297	5.94	0
269	573.0	0.0191	3.82	0
270	573.0	0.0191	3.82	0
271	424.0	0.0141	2.83	0
272	390.0	0.013	2.6	0
273	889.0	0.0296	5.93	0
274	923.0	0.0308	6.15	0
275	2610.0	0.087	17.4	0
276	1370.0	0.0457	9.13	0
277	877.0	0.0292	5.85	0
278	882.0	0.0294	5.88	0
279	710.0	0.0237	4.73	0
280	745.0	0.0248	4.97	0
281	648.0	0.0216	4.32	0
282	644.0	0.0215	4.29	0
283	539.0	0.018	3.59	0
284	539.0	0.018	3.59	0
285	468.0	0.0156	3.12	0
286	468.0	0.0156	3.12	0
287	418.0	0.0139	2.79	0
288	418.0	0.0139	2.79	0
289	376.0	0.0125	2.51	0
290	379.0	0.0126	2.53	0
291	343.0	0.0114	2.29	0
292	346.0	0.0115	2.31	0
293	320.0	0.0107	2.13	0
294	320.0	0.0107	2.13	0
295	298.0	0.0099	1.99	0
296	300.0	0.01	2.0	0
297	284.0	0.0095	1.89	0
298	284.0	0.0095	1.89	0
299	268.0	0.0089	1.79	0
300	271.0	0.009	1.81	0
301	258.0	0.0086	1.72	0
302	261.0	0.0087	1.74	0
303	245.0	0.0082	1.63	0
304	243.0	0.0081	1.62	0
305	340.0	0.0113	2.27	0
306	334.0	0.0111	2.23	0
307	340.0	0.0113	2.27	0
308	337.0	0.0112	2.25	0
309	323.0	0.0108	2.15	0
310	326.0	0.0109	2.17	0
311	236.0	0.0079	1.57	0
312	238.0	0.0079	1.59	0
313	221.0	0.0074	1.47	0
314	228.0	0.0076	1.52	0
