# river=american model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00023225 station_name=BLUE_CANYON_NYACK_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00111597 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
156	0.1854	0.004139	0.8278	0
157	0.2011	0.004488	0.8976	0
158	0.2182	0.004871	0.9742	0
159	0.2035	0.004542	0.9083	0
160	0.1880	0.004196	0.8393	0
161	0.1753	0.003914	0.7827	0
162	0.1627	0.003632	0.7264	0
163	0.1524	0.003401	0.6801	0
164	0.1411	0.003149	0.6297	0
165	0.1130	0.002523	0.5045	0
166	0.0869	0.001939	0.3878	0
167	0.0835	0.001863	0.3725	0
168	0.0801	0.001788	0.3576	0
169	0.0773	0.001726	0.3452	0
170	0.0746	0.001665	0.3330	0
171	0.0723	0.001614	0.3228	0
172	0.0701	0.001564	0.3129	0
173	0.0682	0.001523	0.3045	0
174	0.0664	0.001482	0.2965	0
175	0.0649	0.001448	0.2896	0
176	0.0634	0.001415	0.2830	0
177	0.0622	0.001387	0.2774	0
178	0.1837	0.004099	0.8199	0
179	0.7274	0.016235	3.2471	0
180	1.3605	0.030366	6.0732	0
181	2.2618	0.050482	10.0964	0
182	4.1643	0.092944	18.5887	0
183	8.7098	0.194398	38.8796	0
184	11.7397	0.262024	52.4047	0
185	11.2238	0.250509	50.1017	0
186	10.5536	0.235551	47.1102	0
187	9.5619	0.213416	42.6831	0
188	8.6325	0.192673	38.5346	0
189	7.8196	0.174529	34.9058	0
190	7.0615	0.157608	31.5216	0
191	6.3952	0.142737	28.5474	0
192	5.7770	0.128940	25.7879	0
193	5.2315	0.116764	23.3529	0
194	4.7278	0.105523	21.1045	0
195	4.2812	0.095554	19.1109	0
196	3.8709	0.086395	17.2790	0
197	3.5052	0.078234	15.6468	0
198	3.1706	0.070767	14.1534	0
199	2.8708	0.064075	12.8150	0
200	2.5988	0.058005	11.6009	0
201	2.3550	0.052563	10.5126	0
202	2.1336	0.047622	9.5243	0
203	1.9328	0.043139	8.6278	0
204	1.7699	0.039503	7.9005	0
205	1.6384	0.036568	7.3135	0
206	2.5297	0.056460	11.2921	0
207	4.1880	0.093474	18.6948	0
208	4.7235	0.105425	21.0849	0
