# river=delta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00023237 station_name=STOCKTON_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00223477 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
157	0.4442	0.016941	3.3882	0
158	0.4093	0.015583	3.1166	0
159	0.3807	0.014481	2.8962	0
160	0.3523	0.013385	2.6770	0
161	0.3245	0.012362	2.4723	0
162	0.2969	0.011343	2.2686	0
163	0.2742	0.010505	2.1010	0
164	0.2515	0.009671	1.9341	0
165	0.2296	0.008898	1.7796	0
166	0.2079	0.008135	1.6270	0
167	0.1898	0.007481	1.4962	0
168	0.1729	0.006898	1.3796	0
169	0.1662	0.006941	1.3882	0
170	0.1591	0.006924	1.3848	0
171	0.1490	0.006488	1.2977	0
172	0.1391	0.006065	1.2130	0
173	0.1308	0.005709	1.1417	0
174	0.1237	0.005399	1.0798	0
175	0.1219	0.005309	1.0617	0
176	0.1503	0.006575	1.3150	0
177	0.2988	0.013249	2.6498	0
178	0.5628	0.024227	4.8454	0
179	1.2236	0.050009	10.0017	0
180	1.8173	0.073261	14.6522	0
181	2.2094	0.088928	17.7855	0
182	2.6663	0.104766	20.9532	0
183	3.2946	0.121059	24.2119	0
184	3.7940	0.135696	27.1392	0
185	3.9922	0.146456	29.2911	0
186	4.0258	0.149867	29.9734	0
187	3.7162	0.137959	27.5918	0
188	3.4038	0.126109	25.2218	0
189	3.0859	0.114367	22.8735	0
190	2.7895	0.103420	20.6840	0
191	2.5292	0.093805	18.7610	0
192	2.2877	0.084884	16.9768	0
193	2.0745	0.077011	15.4023	0
194	1.8870	0.070112	14.0224	0
195	1.7343	0.064540	12.9080	0
196	1.6260	0.060863	12.1726	0
197	1.5725	0.059522	11.9044	0
198	1.5367	0.059405	11.8809	0
199	1.5205	0.060653	12.1306	0
200	1.5889	0.064836	12.9671	0
201	1.7429	0.071985	14.3969	0
202	1.8116	0.075088	15.0177	0
203	1.8020	0.074488	14.8976	0
204	1.8388	0.082812	16.5624	0
205	1.9140	0.098536	19.7072	0
206	2.1163	0.109492	21.8984	0
207	2.4140	0.116872	23.3743	0
208	2.5866	0.119356	23.8712	0
209	2.6744	0.118525	23.7050	0
210	2.5562	0.111597	22.3195	0
211	2.3122	0.100947	20.1895	0
212	2.0969	0.091548	18.3096	0
213	1.8972	0.082836	16.5672	0
214	1.7218	0.075182	15.0364	0
215	1.5583	0.068049	13.6098	0
216	1.4155	0.061814	12.3628	0
217	1.2817	0.055974	11.1947	0
218	1.1636	0.050819	10.1638	0
219	1.0516	0.045931	9.1862	0
220	0.9487	0.041476	8.2952	0
221	0.8490	0.037169	7.4339	0
222	0.7679	0.033594	6.7188	0
223	0.6924	0.030239	6.0477	0
224	0.6260	0.027411	5.4823	0
225	0.5621	0.024722	4.9443	0
226	0.5124	0.022865	4.5731	0
227	0.4659	0.021194	4.2387	0
228	0.9618	0.043474	8.6948	0
229	1.5584	0.070201	14.0402	0
230	3.2130	0.140603	28.1205	0
231	5.0283	0.217638	43.5276	0
232	5.0186	0.216312	43.2625	0
233	4.7899	0.205583	41.1167	0
234	4.3735	0.187651	37.5301	0
235	3.9402	0.169071	33.8141	0
236	3.5807	0.153652	30.7304	0
237	3.2257	0.138427	27.6854	0
238	2.9318	0.125824	25.1649	0
239	2.6401	0.113312	22.6623	0
240	2.4004	0.103013	20.6025	0
241	2.1618	0.092761	18.5523	0
242	1.9634	0.084252	16.8505	0
243	1.7665	0.075811	15.1622	0
244	1.6061	0.068941	13.7883	0
245	1.4638	0.062939	12.5878	0
246	1.5787	0.069223	13.8445	0
247	1.7620	0.078574	15.7148	0
248	2.6317	0.118694	23.7388	0
249	3.6362	0.162221	32.4442	0
250	5.6753	0.231865	46.3730	0
251	7.4489	0.291961	58.3922	0
252	7.5937	0.293457	58.6914	0
