# river=shasta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045983 station_name=MOUNT_SHASTA,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00234763 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
157	0.4750	0.022304	4.4607	0
158	0.4323	0.020297	4.0593	0
159	0.3971	0.018646	3.7291	0
160	0.3621	0.017003	3.4007	0
161	0.3335	0.015658	3.1316	0
162	0.3050	0.014319	2.8639	0
163	0.2815	0.013218	2.6436	0
164	0.2583	0.012127	2.4254	0
165	0.2391	0.011225	2.2451	0
166	0.2201	0.010334	2.0667	0
167	0.2037	0.009562	1.9125	0
168	0.1876	0.008809	1.7618	0
169	0.1749	0.008210	1.6421	0
170	0.1624	0.007626	1.5251	0
171	0.1520	0.007136	1.4271	0
172	0.1418	0.006659	1.3318	0
173	0.1333	0.006258	1.2515	0
174	0.1250	0.005869	1.1739	0
175	0.1180	0.005541	1.1082	0
176	0.1113	0.005224	1.0449	0
177	0.1055	0.004955	0.9911	0
178	0.2262	0.010618	2.1237	0
179	0.7813	0.036682	7.3364	0
180	1.3061	0.061324	12.2647	0
181	1.7401	0.081700	16.3400	0
182	2.0421	0.095880	19.1760	0
183	1.9957	0.093703	18.7405	0
184	1.9332	0.090766	18.1533	0
185	1.8328	0.086056	17.2111	0
186	1.7140	0.080476	16.0953	0
187	1.5566	0.073087	14.6173	0
188	1.4092	0.066164	13.2329	0
189	1.2803	0.060114	12.0229	0
190	1.1602	0.054474	10.8948	0
191	1.0547	0.049520	9.9041	0
192	0.9568	0.044925	8.9849	0
193	0.8704	0.040869	8.1738	0
194	0.7907	0.037125	7.4249	0
195	0.7200	0.033804	6.7609	0
196	0.7509	0.035259	7.0518	0
197	0.9073	0.042601	8.5203	0
198	1.1543	0.054199	10.8398	0
199	1.5025	0.070546	14.1091	0
200	2.0758	0.097464	19.4927	0
201	2.8767	0.135070	27.0140	0
202	3.1059	0.145828	29.1655	0
203	2.8113	0.131998	26.3996	0
204	2.5460	0.119539	23.9078	0
205	2.3048	0.108217	21.6433	0
206	2.5199	0.118314	23.6628	0
207	3.0771	0.144476	28.8953	0
208	3.1242	0.146688	29.3377	0
209	2.8257	0.132676	26.5351	0
210	2.5609	0.120240	24.0480	0
211	2.3165	0.108768	21.7535	0
212	2.1008	0.098638	19.7275	0
213	1.9007	0.089245	17.8489	0
214	1.7250	0.080993	16.1986	0
215	1.5612	0.073303	14.6605	0
216	1.4181	0.066581	13.3163	0
217	1.2840	0.060285	12.0570	0
218	1.1674	0.054810	10.9621	0
219	1.0576	0.049655	9.9311	0
220	0.9562	0.044898	8.9796	0
221	0.8578	0.040278	8.0555	0
222	0.7735	0.036316	7.2631	0
223	0.6933	0.032551	6.5102	0
