# river=american scale_factor=11700.0 threshold=643.636
frame	cfs	norm	scaled	high_variation
176	1780.0	0.1521	30.43	0
177	2050.0	0.1752	35.04	0
178	1860.0	0.159	31.79	0
179	1270.0	0.1085	21.71	0
180	1340.0	0.1145	22.91	0
181	950.0	0.0812	16.24	0
182	1110.0	0.0949	18.97	0
183	974.0	0.0832	16.65	0
184	938.0	0.0802	16.03	0
185	1230.0	0.1051	21.03	0
186	986.0	0.0843	16.85	0
187	1060.0	0.0906	18.12	0
188	1010.0	0.0863	17.26	0
189	1100.0	0.094	18.8	0
190	1160.0	0.0991	19.83	0
191	1010.0	0.0863	17.26	0
192	1060.0	0.0906	18.12	0
193	1130.0	0.0966	19.32	0
194	1080.0	0.0923	18.46	0
195	1110.0	0.0949	18.97	0
196	1060.0	0.0906	18.12	0
197	1120.0	0.0957	19.15	0
198	1060.0	0.0906	18.12	0
199	1130.0	0.0966	19.32	0
200	1120.0	0.0957	19.15	0
201	1050.0	0.0897	17.95	0
202	1030.0	0.088	17.61	0
203	1100.0	0.094	18.8	0
204	1080.0	0.0923	18.46	0
205	1050.0	0.0897	17.95	0
206	1050.0	0.0897	17.95	0
207	1080.0	0.0923	18.46	0
208	1030.0	0.088	17.61	0
209	1080.0	0.0923	18.46	0
210	1150.0	0.0983	19.66	0
211	1020.0	0.0872	17.44	0
212	1030.0	0.088	17.61	0
213	1110.0	0.0949	18.97	0
214	1050.0	0.0897	17.95	0
215	1110.0	0.0949	18.97	0
216	1030.0	0.088	17.61	0
217	1100.0	0.094	18.8	0
218	1320.0	0.1128	22.56	0
219	1060.0	0.0906	18.12	0
220	1060.0	0.0906	18.12	0
221	1120.0	0.0957	19.15	0
222	1070.0	0.0915	18.29	0
223	1150.0	0.0983	19.66	0
224	1080.0	0.0923	18.46	0
225	1150.0	0.0983	19.66	0
226	1130.0	0.0966	19.32	0
227	1050.0	0.0897	17.95	0
228	1120.0	0.0957	19.15	0
229	1050.0	0.0897	17.95	0
230	1080.0	0.0923	18.46	0
231	1030.0	0.088	17.61	0
232	950.0	0.0812	16.24	0
233	1130.0	0.0966	19.32	0
234	1080.0	0.0923	18.46	0
235	1050.0	0.0897	17.95	0
236	1070.0	0.0915	18.29	0
237	1080.0	0.0923	18.46	0
238	1080.0	0.0923	18.46	0
239	1060.0	0.0906	18.12	0
240	986.0	0.0843	16.85	0
241	1170.0	0.1	20.0	0
242	1150.0	0.0983	19.66	0
243	998.0	0.0853	17.06	0
244	998.0	0.0853	17.06	0
245	1070.0	0.0915	18.29	0
246	998.0	0.0853	17.06	0
247	1070.0	0.0915	18.29	0
248	1060.0	0.0906	18.12	0
249	986.0	0.0843	16.85	0
250	998.0	0.0853	17.06	0
251	1110.0	0.0949	18.97	0
252	1080.0	0.0923	18.46	0
253	927.0	0.0792	15.85	0
254	986.0	0.0843	16.85	0
255	1150.0	0.0983	19.66	0
256	1050.0	0.0897	17.95	0
257	1150.0	0.0983	19.66	0
258	1130.0	0.0966	19.32	0
259	1070.0	0.0915	18.29	0
260	1020.0	0.0872	17.44	0
261	1150.0	0.0983	19.66	0
262	1050.0	0.0897	17.95	0
263	1150.0	0.0983	19.66	0
264	1030.0	0.088	17.61	0
265	1130.0	0.0966	19.32	0
266	1130.0	0.0966	19.32	0
267	1030.0	0.088	17.61	0
268	1150.0	0.0983	19.66	0
269	1050.0	0.0897	17.95	0
270	1050.0	0.0897	17.95	0
271	1170.0	0.1	20.0	0
272	1060.0	0.0906	18.12	0
273	1160.0	0.0991	19.83	0
274	1130.0	0.0966	19.32	0
275	1060.0	0.0906	18.12	0
276	1030.0	0.088	17.61	0
277	1120.0	0.0957	19.15	0
278	1120.0	0.0957	19.15	0
279	1020.0	0.0872	17.44	0
280	1120.0	0.0957	19.15	0
281	1050.0	0.0897	17.95	0
282	1050.0	0.0897	17.95	0
283	1120.0	0.0957	19.15	0
284	1110.0	0.0949	18.97	0
285	1020.0	0.0872	17.44	0
286	998.0	0.0853	17.06	0
287	1080.0	0.0923	18.46	0
288	1080.0	0.0923	18.46	0
289	1010.0	0.0863	17.26	0
290	1010.0	0.0863	17.26	0
291	1080.0	0.0923	18.46	0
292	1100.0	0.094	18.8	0
293	1030.0	0.088	17.61	0
294	1020.0	0.0872	17.44	0
295	1100.0	0.094	18.8	0
296	1080.0	0.0923	18.46	0
297	986.0	0.0843	16.85	0
298	1080.0	0.0923	18.46	0
299	974.0	0.0832	16.65	0
300	998.0	0.0853	17.06	0
301	1060.0	0.0906	18.12	0
302	1060.0	0.0906	18.12	0
303	962.0	0.0822	16.44	0
304	1070.0	0.0915	18.29	0
305	974.0	0.0832	16.65	0
306	950.0	0.0812	16.24	0
307	1080.0	0.0923	18.46	0
308	1120.0	0.0957	19.15	0
309	1020.0	0.0872	17.44	0
310	1020.0	0.0872	17.44	0
311	1110.0	0.0949	18.97	0
312	1100.0	0.094	18.8	0
313	1020.0	0.0872	17.44	0
314	1110.0	0.0949	18.97	0
315	1030.0	0.088	17.61	0
316	1030.0	0.088	17.61	0
317	1080.0	0.0923	18.46	0
318	1030.0	0.088	17.61	0
319	1070.0	0.0915	18.29	0
320	1080.0	0.0923	18.46	0
321	1030.0	0.088	17.61	0
322	1070.0	0.0915	18.29	0
323	998.0	0.0853	17.06	0
324	1060.0	0.0906	18.12	0
325	998.0	0.0853	17.06	0
326	1070.0	0.0915	18.29	0
327	998.0	0.0853	17.06	0
328	1020.0	0.0872	17.44	0
329	1080.0	0.0923	18.46	0
330	1110.0	0.0949	18.97	0
331	998.0	0.0853	17.06	0
332	986.0	0.0843	16.85	0
333	1160.0	0.0991	19.83	0
334	1060.0	0.0906	18.12	0
335	3070.0	0.2624	52.48	0
336	3020.0	0.2581	51.62	0
337	5180.0	0.4427	88.55	0
338	5220.0	0.4462	89.23	0
339	4860.0	0.4154	83.08	0
340	4880.0	0.4171	83.42	0
341	11400.0	0.9744	194.87	1
342	11400.0	0.9744	194.87	1
343	11300.0	0.9658	193.16	1
344	11300.0	0.9658	193.16	1
345	11500.0	0.9829	196.58	1
346	11500.0	0.9829	196.58	1
347	9560.0	0.8171	163.42	1
348	9830.0	0.8402	168.03	1
349	8480.0	0.7248	144.96	1
350	8590.0	0.7342	146.84	1
351	7560.0	0.6462	129.23	0
352	7720.0	0.6598	131.97	0
353	6540.0	0.559	111.79	0
354	6660.0	0.5692	113.85	0
355	5730.0	0.4897	97.95	1
