# river=shasta scale_factor=763.0 threshold=42.123
frame	cfs	norm	scaled	high_variation
186	150.0	0.1966	39.32	0
187	131.0	0.1717	34.34	0
188	134.0	0.1756	35.12	0
189	128.0	0.1678	33.55	0
190	134.0	0.1756	35.12	0
191	118.0	0.1547	30.93	0
192	121.0	0.1586	31.72	0
193	126.0	0.1651	33.03	0
194	123.0	0.1612	32.24	0
195	129.0	0.1691	33.81	0
196	123.0	0.1612	32.24	0
197	131.0	0.1717	34.34	0
198	126.0	0.1651	33.03	0
199	134.0	0.1756	35.12	0
200	129.0	0.1691	33.81	0
201	142.0	0.1861	37.22	0
202	148.0	0.194	38.79	0
203	137.0	0.1796	35.91	0
204	137.0	0.1796	35.91	0
205	148.0	0.194	38.79	0
206	142.0	0.1861	37.22	0
207	154.0	0.2018	40.37	0
208	154.0	0.2018	40.37	0
209	142.0	0.1861	37.22	0
210	145.0	0.19	38.01	0
211	137.0	0.1796	35.91	0
212	145.0	0.19	38.01	0
213	137.0	0.1796	35.91	0
214	137.0	0.1796	35.91	0
215	143.0	0.1874	37.48	0
216	143.0	0.1874	37.48	0
217	134.0	0.1756	35.12	0
218	140.0	0.1835	36.7	0
219	134.0	0.1756	35.12	0
220	134.0	0.1756	35.12	0
221	143.0	0.1874	37.48	0
222	137.0	0.1796	35.91	0
223	146.0	0.1913	38.27	0
224	140.0	0.1835	36.7	0
225	148.0	0.194	38.79	0
226	140.0	0.1835	36.7	0
227	149.0	0.1953	39.06	0
228	143.0	0.1874	37.48	0
229	169.0	0.2215	44.3	0
230	157.0	0.2058	41.15	0
231	170.0	0.2228	44.56	0
232	163.0	0.2136	42.73	0
233	173.0	0.2267	45.35	0
234	173.0	0.2267	45.35	0
235	161.0	0.211	42.2	0
236	167.0	0.2189	43.77	0
237	158.0	0.2071	41.42	0
238	164.0	0.2149	42.99	0
239	155.0	0.2031	40.63	0
240	158.0	0.2071	41.42	0
241	164.0	0.2149	42.99	0
242	164.0	0.2149	42.99	0
243	158.0	0.2071	41.42	0
